Date,Capture Site,Capture UTM-Y,Capture UTM-X,Length (mm),Weight (g),Dorsal Gap (mm),Girth (mm),Genetic,PIT Tagged (Y/N),Status,,PIT Tag #,Radio Tag #,Surgery Time (MM:SS),Injuries,Recovery Tank Temp,Release Site,Release UTM-X,Release UTM-Y,Release Time,Release Temp,Tank Water Temp,Tagger,Genetic,,Lamprey ID,,,
8/15/2023,Shears,5013394.42,653819.54,630,444,15,36,4185,Y,Alive,422,3D6.1D59577422,440334,5:55,,,WS Hatch,640815.77,4969658.49,,,,,4185,CI-85,LI-85,M-85,,
8/15/2023,Shears,5013394.42,653819.54,655,498,16,39,4186,Y,Alive,44d,3D6.1D5957744D,440335,5:52,,,WS Hatch,640815.77,4969658.49,,,,,4186,CI-86,LI-86,M-86,,
8/15/2023,Shears,5013394.42,653819.54,640,461,16,36,4187,Y,Alive,465,3D6.1D59577465,440336,5:07,,,WS Hatch,640815.77,4969658.49,,,,,4187,CI-87,LI-87,M-87,,
8/15/2023,Shears,5013394.42,653819.54,570,300,14,31,4188,Y,Alive,617,3D6.1D59577617,440340,6:11,,,WS Hatch,640815.77,4969658.49,,,,,4188,CI-88,LI-88,M-88,,
8/15/2023,Shears,5013394.42,653819.54,595,320,14,32,4189,Y,Alive,43b,3D6.1D5957743B,440339,5:33,,,WS Hatch,640815.77,4969658.49,,,,,4189,CI-89,LI-89,M-89,,
8/15/2023,Shears,5013394.42,653819.54,650,417,17,30,4190,Y,Alive,658,3D6.1D59577658,440338,5:34,,,WS Hatch,640815.77,4969658.49,,,,,4190,CI-90,LI-90,M-90,,
8/15/2023,Shears,5013394.42,653819.54,575,343,14,32,4191,Y,Alive,645,3D6.1D59577645,440337,4:31,,,WS Hatch,640815.77,4969658.49,,,,,4191,CI-91,LI-91,M-91,,
8/17/2023,Bonneville,5053791.66,581428.23,670,,16,42,4192,Y,Alive,468,3D6.1D59577468,440347,,,,Beaver,611558.12,4980505.68,,,,,4192,CI-92,LI-92,M-92,,
8/17/2023,Bonneville,5053791.66,581428.23,695,,17,41,4193,Y,Alive,461,3D6.1D59577461,440350,,,,Beaver,611558.12,4980505.68,,,,,4193,CI-93,LI-93,M-93,,
8/17/2023,Bonneville,5053791.66,581428.23,680,515,17,38,4194,Y,Alive,451,3D6.1D59577451,440346,7:38,wound on head,,Beaver,611558.12,4980505.68,,,,,4194,CI-94,LI-94,M-94,,
8/17/2023,Bonneville,5053791.66,581428.23,640,530,17,41,4195,Y,Alive,641,3D6.1D59577641,440348,9:45,,,Beaver,611558.12,4980505.68,,,,,4195,CI-95,LI-95,M-95,,
8/17/2023,Bonneville,5053791.66,581428.23,700,625,18,38,4196,Y,Alive,42a,3D6.1D5957742A,440349,8:49,,,Beaver,611558.12,4980505.68,,,,,4196,CI-96,LI-96,M-96,,
8/17/2023,Bonneville,5053791.66,581428.23,680,526,17,40,4197,Y,Alive,446,3D6.1D59577446,440356,7:31,,,Beaver,611558.12,4980505.68,,,,,4197,CI-97,LI-97,M-97,,
8/17/2023,Bonneville,5053791.66,581428.23,695,547,17,39,4198,Y,Alive,443,3D6.1D59577443,440355,8:00,,,Beaver,611558.12,4980505.68,,,,,4198,CI-98,LI-98,M-98,,
8/17/2023,Bonneville,5053791.66,581428.23,680,564,17.5,40,4199,Y,Alive,420,3D6.1D59577420,440354,7:46,,,Beaver,611558.12,4980505.68,,,,,4199,CI-99,LI-99,M-99,,
8/17/2023,Bonneville,5053791.66,581428.23,650,513,16,37,4200,Y,Alive,416,3D6.1D59577416,440353,7:30,,,Beaver,611558.12,4980505.68,,,,,4200,CI-100,LI-100,M-100,,
8/17/2023,Bonneville,5053791.66,581428.23,660,547,16,39,4201,Y,Alive,462,3D6.1D59577462,440357,8:02,,,Beaver,611558.12,4980505.68,,,,,4201,CI-101,LI-101,M-101,,
8/17/2023,Bonneville,5053791.66,581428.23,620,456,15,34,4202,Y,Alive,463,3D6.1D59577463,440358,7:15,,,Beaver,611558.12,4980505.68,,,,,4202,CI-102,LI-102,M-102,,
8/17/2023,Bonneville,5053791.66,581428.23,675,606,17,42,4203,Y,Alive,460,3D6.1D59577460,440359,9:23,,,Beaver,611558.12,4980505.68,,,,,4203,CI-103,LI-103,M-103,,
8/17/2023,Bonneville,5053791.66,581428.23,710,607,17,39,4204,Y,Alive,609,3D6.1D59577609,440360,7:12,,,Beaver,611558.12,4980505.68,,,,,4204,CI-104,LI-104,M-104,,
8/17/2023,Bonneville,5053791.66,581428.23,600,285,15,35,4205,Y,Alive,42b,3D6.1D5957742B,440364,6:10,,,Beaver,611558.12,4980505.68,,,,,4205,CI-105,LI-105,M-105,,
8/17/2023,Bonneville,5053791.66,581428.23,660,555,16,40,4206,Y,Alive,669,3D6.1D59577669,440361,6:05,,,Beaver,611558.12,4980505.68,,,,,4206,CI-106,LI-106,M-106,,
8/17/2023,Bonneville,5053791.66,581428.23,680,597,16,40,4207,Y,Alive,43d,3D6.1D5957743D,440362,6:27,,,Beaver,611558.12,4980505.68,,,,,4207,CI-107,LI-107,M-107,,
8/17/2023,Bonneville,5053791.66,581428.23,720,636,18,41,4208,Y,Alive,473,3D6.1D59577473,440363,6:38,,,Beaver,611558.12,4980505.68,,,,,4208,CI-108,LI-108,M-108,,
8/17/2023,Bonneville,5053791.66,581428.23,660,536,16,39,4209,Y,Alive,45e,3D6.1D5957745E,440365,8:57,,,WS,618811.36,4984291.2,,,,,4209,CI-109,LI-109,M-109,,
8/17/2023,Bonneville,5053791.66,581428.23,600,417,15,35,4210,Y,Alive,459,3D6.1D59577459,440368,8:56,,,WS,618811.36,4984291.2,,,,,4210,CI-110,LI-110,M-110,,
8/17/2023,Bonneville,5053791.66,581428.23,650,514,15.5,34,4211,Y,Alive,433,3D6.1D59577433,440367,7:19,,,WS,618811.36,4984291.2,,,,,4211,CI-111,LI-111,M-111,,
8/17/2023,Bonneville,5053791.66,581428.23,690,590,17,41,4212,Y,Alive,467,3D6.1D59577467,440366,7:56,,,WS,618811.36,4984291.2,,,,,4212,CI-112,LI-112,M-112,,
8/17/2023,Bonneville,5053791.66,581428.23,690,610,18,40,4213,Y,Alive,42f,3D6.1D5957742F,440372,7:56,,,WS,618811.36,4984291.2,,,,,4213,CI-113,LI-113,M-113,,
8/17/2023,Bonneville,5053791.66,581428.23,720,702,19,48,4214,Y,Alive,42d,3D6.1D5957742D,440371,8:00,,,WS,618811.36,4984291.2,,,,,4214,CI-114,LI-114,M-114,,
8/17/2023,Bonneville,5053791.66,581428.23,680,631,17,44,4215,Y,Alive,471,3D6.1D59577471,440370,,,,WS,618811.36,4984291.2,,,,,4215,CI-115,LI-115,M-115,,
8/17/2023,Bonneville,5053791.66,581428.23,700,605,18,40,4216,Y,Alive,41c,3D6.1D5957741C,440369,,,,WS,618811.36,4984291.2,,,,,4216,CI-116,LI-116,M-116,,
8/17/2023,Bonneville,5053791.66,581428.23,670,596,14,40,4217,Y,Alive,418,3D6.1D59577418,440376,,,,WS,618811.36,4984291.2,,,,,4217,CI-117,LI-117,M-117,,
8/17/2023,Bonneville,5053791.66,581428.23,700,607,19,41,4218,Y,Alive,42c,3D6.1D5957742C,440375,,,,WS,618811.36,4984291.2,,,,,4218,CI-118,LI-118,M-118,,
8/17/2023,Bonneville,5053791.66,581428.23,550,309,13,30,4219,Y,Alive,450,3D6.1D59577450,440374,,,,WS,618811.36,4984291.2,,,,,4219,CI-119,LI-119,M-119,,
8/17/2023,Bonneville,5053791.66,581428.23,730,602,17,36,4220,Y,Alive,439,3D6.1D59577439,440373,,,,WS,618811.36,4984291.2,,,,,4220,CI-120,LI-120,M-120,,
8/17/2023,Bonneville,5053791.66,581428.23,650,520,16,40,4221,Y,Alive,64c,3D6.1D5957764C,440379,,,,WS,618811.36,4984291.2,,,,,4221,CI-121,LI-121,M-121,,
